"indicator_id","soc","label_en","geography_id","period","employment","location_quotient","annual_mean_wage_usd","construct","status","source_id"
"bls-sj-computer-math","15-0000","Computer & mathematical occupations","san-jose-sunnyvale-santa-clara-msa","2025-05","149970","3.91","202060","AI_ADJACENT_TECHNICAL_WORKFORCE","OBSERVED_PUBLIC_DATA","source-bls-oews-san-jose-2025"
"bls-sj-research-scientists","15-1221","Computer & information research scientists","san-jose-sunnyvale-santa-clara-msa","2025-05","2210","8.14","216560","AI_ADJACENT_TECHNICAL_WORKFORCE","OBSERVED_PUBLIC_DATA","source-bls-oews-san-jose-2025"
"bls-sj-software-developers","15-1252","Software developers","san-jose-sunnyvale-santa-clara-msa","2025-05","87350","7.09","221710","AI_ADJACENT_TECHNICAL_WORKFORCE","OBSERVED_PUBLIC_DATA","source-bls-oews-san-jose-2025"
"bls-sj-data-scientists","15-2051","Data scientists","san-jose-sunnyvale-santa-clara-msa","2025-05","6060","3.16","212760","AI_ADJACENT_TECHNICAL_WORKFORCE","OBSERVED_PUBLIC_DATA","source-bls-oews-san-jose-2025"
"bls-sj-information-security","15-1212","Information security analysts","san-jose-sunnyvale-santa-clara-msa","2025-05","2280","1.64","196700","AI_ADJACENT_TECHNICAL_WORKFORCE","OBSERVED_PUBLIC_DATA","source-bls-oews-san-jose-2025"
