"from_institution_id","to_institution_id","work_count","period","status","source"
"I154570441","I4210114444","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I4210114444","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I185103710","I103635307","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI185103710%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I185103710","I4210114444","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI185103710%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1306409833","I4210114444","2","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1306409833%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I4210095624","1","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I122411786","I4210114444","1","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI122411786%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I84218800","I4210095624","1","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI84218800%2Cauthorships.institutions.id%3AI4210095624%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I4210095624","I1306409833","1","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI4210095624%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I103635307","I1306409833","1","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI103635307%2Cauthorships.institutions.id%3AI1306409833%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
