"from_institution_id","to_institution_id","work_count","period","status","source"
"I97018004","I84218800","47","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI84218800%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I36258959","47","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI36258959%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I204250578","45","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I204250578","39","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI204250578%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I185103710","36","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1291425158","I4210114444","34","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1291425158%2Cauthorships.institutions.id%3AI4210114444%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I154570441","I103635307","33","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI154570441%2Cauthorships.institutions.id%3AI103635307%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I1174212","I122411786","32","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI1174212%2Cauthorships.institutions.id%3AI122411786%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I161318765","I122411786","32","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI161318765%2Cauthorships.institutions.id%3AI122411786%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I97018004","I185103710","31","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI97018004%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I154570441","31","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI154570441%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I95457486","I185103710","31","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI95457486%2Cauthorships.institutions.id%3AI185103710%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
"I36258959","I84218800","31","2015-2026","VERIFIED_RELATIONSHIP","https://api.openalex.org/works?filter=authorships.institutions.id%3AI36258959%2Cauthorships.institutions.id%3AI84218800%2Cprimary_topic.subfield.id%3A1702%2Cpublication_year%3A2015-2026&per_page=1"
